LOG DE PROCESAMIENTO — a10_leo
============================================================

TIEMPOS POR ARCHIVO
Archivo                       Tiempo (ms)         
267_sorted.txt                1.414               
079_sorted.txt                0.912               
189_sorted.txt                1.632               
329_sorted.txt                1.149               
294_sorted.txt                0.538               
043_sorted.txt                11.731              
135_sorted.txt                0.275               
465_sorted.txt                0.656               
275_sorted.txt                0.873               
458_sorted.txt                0.360               
386_sorted.txt                2.006               
363_sorted.txt                6.320               
017_sorted.txt                0.279               
045_sorted.txt                0.117               
178_sorted.txt                0.409               
051_sorted.txt                0.543               
252_sorted.txt                2.199               
246_sorted.txt                2.297               
097_sorted.txt                0.311               
486_sorted.txt                0.388               
249_sorted.txt                5.130               
113_sorted.txt                0.255               
305_sorted.txt                0.441               
303_sorted.txt                4.210               
087_sorted.txt                0.906               
456_sorted.txt                0.355               
287_sorted.txt                3.671               
396_sorted.txt                0.779               
053_sorted.txt                0.289               
147_sorted.txt                1.297               
126_sorted.txt                0.418               
080_sorted.txt                0.608               
089_sorted.txt                0.402               
213_sorted.txt                0.435               
201_sorted.txt                0.191               
433_sorted.txt                15.184              
074_sorted.txt                1.060               
156_sorted.txt                2.039               
399_sorted.txt                0.241               
118_sorted.txt                2.331               
418_sorted.txt                0.738               
416_sorted.txt                0.392               
026_sorted.txt                0.862               
434_sorted.txt                18.441              
489_sorted.txt                0.262               
315_sorted.txt                1.691               
468_sorted.txt                0.889               
274_sorted.txt                0.949               
302_sorted.txt                0.758               
425_sorted.txt                0.695               
125_sorted.txt                0.345               
300_sorted.txt                0.725               
123_sorted.txt                0.497               
380_sorted.txt                3.255               
129_sorted.txt                0.485               
143_sorted.txt                0.319               
461_sorted.txt                1.631               
389_sorted.txt                4.655               
248_sorted.txt                1.056               
116_sorted.txt                0.283               
190_sorted.txt                0.228               
027_sorted.txt                3.602               
314_sorted.txt                0.498               
005_sorted.txt                1.408               
153_sorted.txt                0.094               
284_sorted.txt                1.103               
057_sorted.txt                0.218               
235_sorted.txt                1.280               
071_sorted.txt                0.162               
443_sorted.txt                0.241               
062_sorted.txt                0.308               
106_sorted.txt                0.457               
medium_sorted.txt             0.134               
056_sorted.txt                0.114               
321_sorted.txt                0.563               
098_sorted.txt                0.384               
449_sorted.txt                0.156               
040_sorted.txt                0.861               
137_sorted.txt                6.469               
491_sorted.txt                0.179               
342_sorted.txt                4.516               
385_sorted.txt                2.183               
269_sorted.txt                2.497               
059_sorted.txt                0.283               
424_sorted.txt                0.405               
226_sorted.txt                0.666               
234_sorted.txt                2.229               
134_sorted.txt                0.210               
214_sorted.txt                0.140               
381_sorted.txt                2.848               
095_sorted.txt                0.606               
409_sorted.txt                0.300               
360_sorted.txt                4.861               
427_sorted.txt                0.961               
208_sorted.txt                0.398               
158_sorted.txt                0.108               
236_sorted.txt                1.061               
497_sorted.txt                0.203               
473_sorted.txt                0.325               
112_sorted.txt                0.502               
335_sorted.txt                1.205               
033_sorted.txt                0.304               
376_sorted.txt                5.205               
131_sorted.txt                2.366               
307_sorted.txt                2.719               
180_sorted.txt                0.259               
401_sorted.txt                0.604               
146_sorted.txt                1.476               
015_sorted.txt                0.230               
107_sorted.txt                0.112               
073_sorted.txt                0.235               
231_sorted.txt                0.112               
435_sorted.txt                11.637              
496_sorted.txt                0.150               
467_sorted.txt                0.258               
152_sorted.txt                2.191               
066_sorted.txt                1.332               
503_sorted.txt                0.316               
265_sorted.txt                0.385               
222_sorted.txt                1.138               
475_sorted.txt                0.421               
167_sorted.txt                0.248               
377_sorted.txt                4.518               
288_sorted.txt                0.738               
041_sorted.txt                0.652               
299_sorted.txt                2.675               
154_sorted.txt                0.919               
172_sorted.txt                0.438               
241_sorted.txt                0.692               
390_sorted.txt                2.487               
096_sorted.txt                0.394               
487_sorted.txt                0.324               
452_sorted.txt                0.193               
078_sorted.txt                0.452               
029_sorted.txt                1.722               
388_sorted.txt                1.563               
212_sorted.txt                0.316               
225_sorted.txt                0.247               
356_sorted.txt                1.545               
306_sorted.txt                0.594               
227_sorted.txt                0.108               
484_sorted.txt                0.469               
175_sorted.txt                0.224               
421_sorted.txt                0.562               
209_sorted.txt                0.442               
460_sorted.txt                0.283               
431_sorted.txt                0.492               
193_sorted.txt                0.321               
199_sorted.txt                0.598               
068_sorted.txt                0.272               
058_sorted.txt                0.515               
313_sorted.txt                0.822               
077_sorted.txt                0.166               
164_sorted.txt                0.458               
345_sorted.txt                4.568               
081_sorted.txt                0.251               
194_sorted.txt                0.444               
224_sorted.txt                0.225               
251_sorted.txt                1.091               
343_sorted.txt                4.400               
019_sorted.txt                6.353               
139_sorted.txt                0.980               
370_sorted.txt                6.913               
366_sorted.txt                6.055               
228_sorted.txt                0.399               
499_sorted.txt                0.291               
361_sorted.txt                5.962               
039_sorted.txt                0.362               
346_sorted.txt                7.314               
311_sorted.txt                1.861               
286_sorted.txt                1.801               
024_sorted.txt                0.248               
082_sorted.txt                2.259               
379_sorted.txt                1.537               
270_sorted.txt                1.050               
316_sorted.txt                0.735               
215_sorted.txt                0.609               
469_sorted.txt                0.507               
165_sorted.txt                0.146               
334_sorted.txt                1.858               
162_sorted.txt                0.313               
127_sorted.txt                0.111               
280_sorted.txt                2.403               
298_sorted.txt                4.151               
462_sorted.txt                2.301               
007_sorted.txt                3.726               
403_sorted.txt                0.752               
221_sorted.txt                0.419               
247_sorted.txt                1.965               
296_sorted.txt                0.480               
217_sorted.txt                0.159               
151_sorted.txt                0.249               
371_sorted.txt                5.667               
495_sorted.txt                2.173               
326_sorted.txt                1.970               
239_sorted.txt                0.902               
437_sorted.txt                10.406              
406_sorted.txt                0.367               
338_sorted.txt                6.071               
030_sorted.txt                0.557               
185_sorted.txt                0.355               
442_sorted.txt                0.230               
237_sorted.txt                0.836               
169_sorted.txt                0.250               
304_sorted.txt                3.653               
171_sorted.txt                0.244               
232_sorted.txt                0.661               
281_sorted.txt                2.107               
211_sorted.txt                0.556               
430_sorted.txt                0.368               
354_sorted.txt                5.786               
470_sorted.txt                0.342               
322_sorted.txt                0.832               
412_sorted.txt                0.716               
206_sorted.txt                0.410               
197_sorted.txt                1.049               
478_sorted.txt                0.308               
181_sorted.txt                3.210               
104_sorted.txt                0.293               
317_sorted.txt                0.451               
038_sorted.txt                0.612               
031_sorted.txt                0.215               
405_sorted.txt                0.565               
003_sorted.txt                0.144               
093_sorted.txt                0.093               
124_sorted.txt                0.741               
480_sorted.txt                0.232               
464_sorted.txt                0.675               
341_sorted.txt                4.835               
002_sorted.txt                2.462               
157_sorted.txt                0.245               
238_sorted.txt                0.728               
492_sorted.txt                1.663               
261_sorted.txt                0.507               
414_sorted.txt                0.639               
110_sorted.txt                0.154               
229_sorted.txt                0.434               
012_sorted.txt                0.210               
046_sorted.txt                0.587               
481_sorted.txt                1.929               
144_sorted.txt                0.356               
482_sorted.txt                0.164               
502_sorted.txt                0.406               
184_sorted.txt                0.602               
254_sorted.txt                0.954               
109_sorted.txt                0.268               
114_sorted.txt                0.456               
205_sorted.txt                0.656               
138_sorted.txt                0.649               
327_sorted.txt                0.548               
365_sorted.txt                5.613               
183_sorted.txt                0.355               
064_sorted.txt                0.886               
067_sorted.txt                0.438               
240_sorted.txt                2.554               
136_sorted.txt                0.598               
472_sorted.txt                0.215               
268_sorted.txt                0.875               
173_sorted.txt                0.193               
436_sorted.txt                12.327              
445_sorted.txt                1.487               
457_sorted.txt                0.246               
145_sorted.txt                0.698               
395_sorted.txt                1.470               
160_sorted.txt                0.673               
075_sorted.txt                0.394               
391_sorted.txt                2.142               
119_sorted.txt                1.338               
273_sorted.txt                0.765               
220_sorted.txt                0.253               
187_sorted.txt                0.239               
084_sorted.txt                0.195               
014_sorted.txt                0.116               
047_sorted.txt                0.777               
264_sorted.txt                1.288               
072_sorted.txt                0.141               
021_sorted.txt                0.397               
324_sorted.txt                0.382               
140_sorted.txt                0.108               
383_sorted.txt                3.598               
242_sorted.txt                1.735               
364_sorted.txt                7.468               

FILTROS APLICADOS
Filtro                   Tokens eliminados   
---------------------------------------------
Stop list                508                 
Longitud <= 1            0                   
Frecuencia < 3           69191               

RESUMEN GENERAL
---------------------------------------------
Tokens antes de filtrar:           98152
Tokens eliminados:                 69699
Tokens en diccionario:             28453
Tamaño de la hash table:           85359
Entradas usadas:                   28453
Colisiones:                        60262
Lookups:                           0
Factor de carga:                   0.3333
Bytes por fila (diccionario):      80 bytes
Bytes por fila (posting):          80 bytes
Tiempo total:                      1095.092 ms
