Nombre del archivo                      tf.idf                                  
368_sorted.txt                          0.0197                                  
367_sorted.txt                          0.0944                                  
340_sorted.txt                          0.0372                                  
250_sorted.txt                          0.0672                                  
325_sorted.txt                          0.0250                                  
252_sorted.txt                          0.0376                                  
249_sorted.txt                          0.0153                                  
254_sorted.txt                          0.1564                                  
044_sorted.txt                          0.1418                                  
347_sorted.txt                          0.0196                                  
198_sorted.txt                          0.3623                                  
501_sorted.txt                          0.2821                                  
179_sorted.txt                          0.0320                                  
369_sorted.txt                          0.0170                                  
223_sorted.txt                          0.1141                                  
043_sorted.txt                          0.0183                                  
026_sorted.txt                          0.1955                                  
027_sorted.txt                          0.0253                                  
040_sorted.txt                          0.0689                                  
377_sorted.txt                          0.0162                                  
280_sorted.txt                          0.0923                                  
211_sorted.txt                          0.2558                                  
181_sorted.txt                          0.0668                                  
067_sorted.txt                          0.2141                                  
047_sorted.txt                          0.1029                                  
433_sorted.txt                          0.0031                                  
434_sorted.txt                          0.0038                                  
005_sorted.txt                          0.0484                                  
435_sorted.txt                          0.0039                                  
436_sorted.txt                          0.0053                                  
433_sorted.txt                          0.0031                                  
434_sorted.txt                          0.0038                                  
435_sorted.txt                          0.0039                                  
437_sorted.txt                          0.0048                                  
433_sorted.txt                          0.0092                                  
434_sorted.txt                          0.0075                                  
435_sorted.txt                          0.0078                                  
437_sorted.txt                          0.0048                                  
436_sorted.txt                          0.0107                                  
349_sorted.txt                          0.0168                                  
342_sorted.txt                          0.0176                                  
345_sorted.txt                          0.0187                                  
370_sorted.txt                          0.0160                                  
341_sorted.txt                          0.0182                                  
101_sorted.txt                          0.0515                                  
179_sorted.txt                          0.0320                                  
009_sorted.txt                          0.0497                                  
120_sorted.txt                          0.5435                                  
057_sorted.txt                          0.4762                                  
015_sorted.txt                          0.5000                                  
224_sorted.txt                          0.9174                                  
011_sorted.txt                          0.0585                                  
043_sorted.txt                          0.0061                                  
152_sorted.txt                          0.0351                                  
181_sorted.txt                          0.0223                                  
064_sorted.txt                          0.0889                                  
347_sorted.txt                          0.0196                                  
373_sorted.txt                          0.0099                                  
375_sorted.txt                          0.0173                                  
377_sorted.txt                          0.0162                                  
338_sorted.txt                          0.0306                                  
365_sorted.txt                          0.0160                                  
433_sorted.txt                          0.0031                                  
434_sorted.txt                          0.0038                                  
435_sorted.txt                          0.0039                                  
362_sorted.txt                          0.0222                                  
355_sorted.txt                          0.0337                                  
371_sorted.txt                          0.0104                                  
341_sorted.txt                          0.0182                                  
364_sorted.txt                          0.0241                                  
368_sorted.txt                          0.0197                                  
372_sorted.txt                          0.0383                                  
352_sorted.txt                          0.0253                                  
337_sorted.txt                          0.0335                                  
376_sorted.txt                          0.0297                                  
341_sorted.txt                          0.0182                                  
364_sorted.txt                          0.0120                                  
397_sorted.txt                          0.0530                                  
387_sorted.txt                          0.0871                                  
392_sorted.txt                          0.0783                                  
384_sorted.txt                          0.1637                                  
358_sorted.txt                          0.0188                                  
267_sorted.txt                          0.0482                                  
189_sorted.txt                          0.0418                                  
043_sorted.txt                          0.0183                                  
363_sorted.txt                          0.0158                                  
389_sorted.txt                          0.0247                                  
381_sorted.txt                          0.0185                                  
167_sorted.txt                          0.6211                                  
390_sorted.txt                          0.0401                                  
175_sorted.txt                          0.5814                                  
366_sorted.txt                          0.0178                                  
346_sorted.txt                          0.0157                                  
280_sorted.txt                          0.0308                                  
338_sorted.txt                          0.0153                                  
030_sorted.txt                          0.2604                                  
436_sorted.txt                          0.0053                                  
395_sorted.txt                          0.0484                                  
433_sorted.txt                          0.0031                                  
434_sorted.txt                          0.0038                                  
435_sorted.txt                          0.0039                                  
436_sorted.txt                          0.0053                                  
289_sorted.txt                          0.0160                                  
260_sorted.txt                          0.0343                                  
290_sorted.txt                          0.0680                                  
378_sorted.txt                          0.0430                                  
339_sorted.txt                          0.0168                                  
245_sorted.txt                          0.1135                                  
331_sorted.txt                          0.0260                                  
179_sorted.txt                          0.0640                                  
250_sorted.txt                          0.0672                                  
285_sorted.txt                          0.0731                                  
244_sorted.txt                          0.0428                                  
243_sorted.txt                          0.1191                                  
369_sorted.txt                          0.0170                                  
189_sorted.txt                          0.0835                                  
043_sorted.txt                          0.0061                                  
248_sorted.txt                          0.2006                                  
235_sorted.txt                          0.2668                                  
269_sorted.txt                          0.0225                                  
146_sorted.txt                          0.0779                                  
377_sorted.txt                          0.0162                                  
154_sorted.txt                          0.4819                                  
313_sorted.txt                          0.0836                                  
215_sorted.txt                          0.2878                                  
334_sorted.txt                          0.2088                                  
280_sorted.txt                          0.1539                                  
247_sorted.txt                          0.0751                                  
151_sorted.txt                          11.9048                                 
239_sorted.txt                          0.0870                                  
240_sorted.txt                          0.0267                                  
242_sorted.txt                          0.1184                                  
364_sorted.txt                          0.0120                                  
373_sorted.txt                          0.0099                                  
362_sorted.txt                          0.0222                                  
372_sorted.txt                          0.0192                                  
343_sorted.txt                          0.0213                                  
354_sorted.txt                          0.0123                                  
466_sorted.txt                          0.2621                                  
463_sorted.txt                          0.1414                                  
465_sorted.txt                          0.2725                                  
475_sorted.txt                          0.2004                                  
464_sorted.txt                          0.1019                                  
433_sorted.txt                          0.0031                                  
434_sorted.txt                          0.0038                                  
435_sorted.txt                          0.0039                                  
437_sorted.txt                          0.0048                                  
436_sorted.txt                          0.0053                                  
364_sorted.txt                          0.0361                                  
257_sorted.txt                          0.1645                                  
252_sorted.txt                          0.1504                                  
249_sorted.txt                          0.0153                                  
