DocumentID                              Nombre del archivo                      
211                                     410_sorted.txt                          
212                                     398_sorted.txt                          
213                                     404_sorted.txt                          
214                                     420_sorted.txt                          
215                                     429_sorted.txt                          
216                                     423_sorted.txt                          
217                                     417_sorted.txt                          
218                                     399_sorted.txt                          
219                                     418_sorted.txt                          
220                                     416_sorted.txt                          
221                                     425_sorted.txt                          
222                                     424_sorted.txt                          
223                                     409_sorted.txt                          
224                                     401_sorted.txt                          
225                                     421_sorted.txt                          
226                                     431_sorted.txt                          
227                                     403_sorted.txt                          
228                                     406_sorted.txt                          
229                                     430_sorted.txt                          
230                                     412_sorted.txt                          
231                                     405_sorted.txt                          
232                                     002_sorted.txt                          
233                                     414_sorted.txt                          
234                                     075_sorted.txt                          
235                                     006_sorted.txt                          
236                                     448_sorted.txt                          
237                                     168_sorted.txt                          
238                                     216_sorted.txt                          
239                                     328_sorted.txt                          
240                                     100_sorted.txt                          
241                                     054_sorted.txt                          
242                                     219_sorted.txt                          
243                                     042_sorted.txt                          
244                                     291_sorted.txt                          
245                                     253_sorted.txt                          
246                                     302_sorted.txt                          
247                                     226_sorted.txt                          
248                                     134_sorted.txt                          
249                                     033_sorted.txt                          
250                                     209_sorted.txt                          
251                                     199_sorted.txt                          
252                                     164_sorted.txt                          
253                                     162_sorted.txt                          
254                                     206_sorted.txt                          
255                                     038_sorted.txt                          
256                                     157_sorted.txt                          
257                                     229_sorted.txt                          
258                                     046_sorted.txt                          
259                                     160_sorted.txt                          
260                                     391_sorted.txt                          
261                                     021_sorted.txt                          
262                                     034_sorted.txt                          
263                                     305_sorted.txt                          
264                                     236_sorted.txt                          
265                                     184_sorted.txt                          
266                                     050_sorted.txt                          
267                                     296_sorted.txt                          
268                                     300_sorted.txt                          
269                                     327_sorted.txt                          
270                                     218_sorted.txt                          
271                                     274_sorted.txt                          
272                                     221_sorted.txt                          
273                                     207_sorted.txt                          
274                                     493_sorted.txt                          
275                                     473_sorted.txt                          
276                                     076_sorted.txt                          
277                                     053_sorted.txt                          
278                                     301_sorted.txt                          
279                                     070_sorted.txt                          
280                                     036_sorted.txt                          
281                                     095_sorted.txt                          
282                                     212_sorted.txt                          
283                                     114_sorted.txt                          
284                                     208_sorted.txt                          
285                                     263_sorted.txt                          
286                                     318_sorted.txt                          
287                                     035_sorted.txt                          
288                                     108_sorted.txt                          
289                                     099_sorted.txt                          
290                                     262_sorted.txt                          
291                                     326_sorted.txt                          
292                                     149_sorted.txt                          
293                                     180_sorted.txt                          
294                                     310_sorted.txt                          
295                                     284_sorted.txt                          
296                                     299_sorted.txt                          
297                                     141_sorted.txt                          
