# Log de procesamiento — a7_leo

## Tiempos por archivo
| Archivo | Tiempo (ms) |
| 325_sorted.txt | 1.036 |
| 474_sorted.txt | 0.158 |
| 308_sorted.txt | 1.032 |
| 011_sorted.txt | 0.485 |
| 369_sorted.txt | 2.247 |
| 148_sorted.txt | 0.066 |
| 292_sorted.txt | 0.941 |
| 423_sorted.txt | 0.303 |
| 291_sorted.txt | 0.294 |
| 216_sorted.txt | 0.119 |
| 223_sorted.txt | 0.525 |
| 076_sorted.txt | 0.933 |
| 463_sorted.txt | 0.231 |
| 020_sorted.txt | 0.098 |
| hard_sorted.txt | 0.054 |
| 091_sorted.txt | 0.299 |
| 025_sorted.txt | 0.131 |
| 500_sorted.txt | 0.185 |
| 476_sorted.txt | 0.245 |
| 358_sorted.txt | 2.005 |
| 177_sorted.txt | 1.066 |
| 120_sorted.txt | 0.132 |
| 455_sorted.txt | 0.065 |
| 359_sorted.txt | 2.323 |
| 352_sorted.txt | 1.505 |
| 086_sorted.txt | 0.292 |
| 337_sorted.txt | 1.196 |
| 439_sorted.txt | 0.126 |
| 440_sorted.txt | 0.123 |
| 351_sorted.txt | 2.677 |
| 438_sorted.txt | 0.137 |
| 293_sorted.txt | 0.187 |
| 103_sorted.txt | 0.144 |
| 013_sorted.txt | 0.059 |
| 253_sorted.txt | 0.216 |
| 055_sorted.txt | 0.140 |
| 310_sorted.txt | 0.719 |
| 493_sorted.txt | 0.112 |
| 163_sorted.txt | 0.199 |
| 050_sorted.txt | 0.441 |
| 488_sorted.txt | 0.045 |
| 494_sorted.txt | 0.133 |
| 191_sorted.txt | 0.111 |
| 417_sorted.txt | 0.137 |
| 174_sorted.txt | 0.262 |
| 490_sorted.txt | 0.123 |
| 052_sorted.txt | 0.242 |
| 448_sorted.txt | 0.172 |
| 257_sorted.txt | 0.258 |
| 267_sorted.txt | 0.676 |
| 079_sorted.txt | 0.276 |
| 189_sorted.txt | 0.743 |
| 329_sorted.txt | 0.426 |
| 294_sorted.txt | 0.191 |
| 043_sorted.txt | 4.836 |
| 135_sorted.txt | 0.116 |
| 465_sorted.txt | 0.303 |
| 275_sorted.txt | 0.335 |
| 458_sorted.txt | 0.163 |
| 386_sorted.txt | 0.612 |
| 363_sorted.txt | 2.763 |
| 017_sorted.txt | 0.133 |
| 045_sorted.txt | 0.043 |
| 178_sorted.txt | 0.200 |
| 051_sorted.txt | 0.159 |
| 252_sorted.txt | 0.931 |
| 246_sorted.txt | 0.866 |
| 097_sorted.txt | 0.130 |
| 486_sorted.txt | 0.159 |
| 249_sorted.txt | 2.029 |
| 113_sorted.txt | 0.094 |
| 305_sorted.txt | 0.206 |
| 303_sorted.txt | 1.662 |
| 087_sorted.txt | 0.282 |
| 456_sorted.txt | 1.791 |
| 287_sorted.txt | 0.949 |
| 396_sorted.txt | 0.352 |
| 053_sorted.txt | 0.113 |
| 147_sorted.txt | 0.639 |
| 126_sorted.txt | 0.228 |
| 080_sorted.txt | 0.263 |
| 089_sorted.txt | 0.214 |
| 213_sorted.txt | 0.240 |
| 201_sorted.txt | 0.090 |
| 433_sorted.txt | 8.514 |
| 074_sorted.txt | 0.639 |
| 156_sorted.txt | 1.315 |
| 399_sorted.txt | 0.255 |
| 118_sorted.txt | 1.453 |
| 418_sorted.txt | 0.390 |
| 416_sorted.txt | 0.254 |
| 026_sorted.txt | 0.542 |
| 434_sorted.txt | 10.532 |
| 489_sorted.txt | 0.183 |
| 315_sorted.txt | 1.109 |
| 468_sorted.txt | 0.365 |
| 274_sorted.txt | 0.716 |
| 302_sorted.txt | 0.304 |
| 425_sorted.txt | 0.342 |
| 125_sorted.txt | 0.162 |
| 300_sorted.txt | 0.374 |
| 123_sorted.txt | 0.161 |
| 380_sorted.txt | 1.521 |
| 129_sorted.txt | 0.214 |
| 143_sorted.txt | 0.163 |
| 461_sorted.txt | 0.831 |
| 389_sorted.txt | 2.740 |
| 248_sorted.txt | 0.491 |
| 116_sorted.txt | 0.150 |
| 190_sorted.txt | 0.103 |
| 027_sorted.txt | 1.973 |
| 314_sorted.txt | 0.256 |
| 005_sorted.txt | 0.846 |
| 153_sorted.txt | 0.065 |
| 284_sorted.txt | 0.589 |
| 057_sorted.txt | 0.124 |
| 235_sorted.txt | 0.799 |
| 071_sorted.txt | 0.081 |
| 443_sorted.txt | 0.135 |
| 062_sorted.txt | 0.160 |
| 106_sorted.txt | 0.221 |
| medium_sorted.txt | 0.070 |
| 056_sorted.txt | 0.053 |
| 321_sorted.txt | 0.281 |
| 098_sorted.txt | 0.203 |
| 449_sorted.txt | 0.078 |
| 040_sorted.txt | 0.442 |
| 137_sorted.txt | 1.543 |
| 491_sorted.txt | 0.085 |
| 342_sorted.txt | 2.533 |
| 385_sorted.txt | 0.922 |
| 269_sorted.txt | 1.089 |
| 059_sorted.txt | 0.130 |
| 424_sorted.txt | 0.138 |
| 226_sorted.txt | 0.319 |
| 234_sorted.txt | 0.969 |
| 134_sorted.txt | 0.073 |
| 214_sorted.txt | 0.072 |
| 381_sorted.txt | 1.210 |
| 095_sorted.txt | 0.237 |
| 409_sorted.txt | 0.111 |
| 360_sorted.txt | 2.467 |
| 427_sorted.txt | 0.342 |
| 208_sorted.txt | 0.186 |
| 158_sorted.txt | 0.042 |
| 236_sorted.txt | 0.470 |
| 497_sorted.txt | 0.085 |
| 473_sorted.txt | 0.150 |
| 112_sorted.txt | 0.205 |
| 335_sorted.txt | 0.515 |
| 033_sorted.txt | 0.119 |
| 376_sorted.txt | 3.840 |
| 131_sorted.txt | 1.542 |
| 307_sorted.txt | 1.554 |
| 180_sorted.txt | 0.118 |
| 401_sorted.txt | 0.366 |
| 146_sorted.txt | 0.928 |
| 015_sorted.txt | 0.133 |
| 107_sorted.txt | 0.068 |
| 073_sorted.txt | 0.086 |
| 231_sorted.txt | 0.067 |
| 435_sorted.txt | 6.452 |
| 496_sorted.txt | 0.060 |
| 467_sorted.txt | 0.088 |
| 152_sorted.txt | 1.110 |
| 066_sorted.txt | 0.646 |
| 503_sorted.txt | 0.109 |
| 265_sorted.txt | 0.189 |
| 222_sorted.txt | 0.589 |
| 475_sorted.txt | 0.220 |
| 167_sorted.txt | 0.135 |
| 377_sorted.txt | 2.533 |
| 288_sorted.txt | 0.232 |
| 041_sorted.txt | 0.218 |
| 299_sorted.txt | 0.820 |
| 154_sorted.txt | 0.459 |
| 172_sorted.txt | 0.204 |
| 241_sorted.txt | 0.374 |
| 390_sorted.txt | 1.161 |
| 096_sorted.txt | 0.140 |
| 487_sorted.txt | 0.144 |
| 452_sorted.txt | 0.124 |
| 078_sorted.txt | 0.217 |
| 029_sorted.txt | 0.814 |
| 388_sorted.txt | 0.786 |
| 212_sorted.txt | 0.129 |
| 225_sorted.txt | 0.114 |
| 356_sorted.txt | 0.857 |
| 306_sorted.txt | 0.264 |
| 227_sorted.txt | 0.052 |
| 484_sorted.txt | 0.275 |
| 175_sorted.txt | 0.126 |
| 421_sorted.txt | 0.359 |
| 209_sorted.txt | 0.201 |
| 460_sorted.txt | 0.154 |
| 431_sorted.txt | 0.252 |
| 193_sorted.txt | 0.126 |
| 199_sorted.txt | 0.191 |
| 068_sorted.txt | 0.132 |
| 058_sorted.txt | 0.259 |
| 313_sorted.txt | 0.392 |
| 077_sorted.txt | 0.075 |
| 164_sorted.txt | 0.203 |
| 345_sorted.txt | 2.318 |
| 081_sorted.txt | 0.084 |
| 194_sorted.txt | 0.209 |
| 224_sorted.txt | 0.101 |
| 251_sorted.txt | 0.423 |
| 343_sorted.txt | 1.913 |
| 019_sorted.txt | 2.885 |
| 139_sorted.txt | 0.243 |
| 370_sorted.txt | 2.768 |
| 366_sorted.txt | 2.212 |
| 228_sorted.txt | 0.146 |
| 499_sorted.txt | 0.102 |
| 361_sorted.txt | 2.123 |
| 039_sorted.txt | 0.100 |
| 346_sorted.txt | 2.400 |
| 311_sorted.txt | 0.769 |
| 286_sorted.txt | 0.720 |
| 024_sorted.txt | 0.103 |
| 082_sorted.txt | 0.832 |
| 379_sorted.txt | 0.707 |
| 270_sorted.txt | 0.395 |
| 316_sorted.txt | 0.444 |
| 215_sorted.txt | 0.266 |
| 469_sorted.txt | 0.245 |
| 165_sorted.txt | 0.066 |
| 334_sorted.txt | 0.618 |
| 162_sorted.txt | 0.145 |
| 127_sorted.txt | 0.054 |
| 280_sorted.txt | 0.973 |
| 298_sorted.txt | 1.783 |
| 462_sorted.txt | 1.012 |
| 007_sorted.txt | 1.465 |
| 403_sorted.txt | 0.400 |
| 221_sorted.txt | 0.136 |
| 247_sorted.txt | 0.858 |
| 296_sorted.txt | 0.250 |
| 217_sorted.txt | 0.076 |
| 151_sorted.txt | 0.049 |
| 371_sorted.txt | 2.628 |
| 495_sorted.txt | 0.114 |
| 326_sorted.txt | 2.500 |
| 239_sorted.txt | 0.486 |
| 437_sorted.txt | 5.988 |
| 406_sorted.txt | 0.147 |
| 338_sorted.txt | 3.166 |
| 030_sorted.txt | 0.210 |
| 185_sorted.txt | 0.203 |
| 442_sorted.txt | 0.109 |
| 237_sorted.txt | 0.382 |
| 169_sorted.txt | 0.110 |
| 304_sorted.txt | 1.762 |
| 171_sorted.txt | 0.086 |
| 232_sorted.txt | 0.325 |
| 281_sorted.txt | 0.977 |
| 211_sorted.txt | 0.183 |
| 430_sorted.txt | 0.139 |
| 354_sorted.txt | 2.822 |
| 470_sorted.txt | 0.141 |
| 322_sorted.txt | 0.353 |
| 412_sorted.txt | 0.318 |
| 206_sorted.txt | 7.741 |
| 197_sorted.txt | 1.046 |
| 478_sorted.txt | 0.189 |
| 181_sorted.txt | 1.734 |
| 104_sorted.txt | 0.172 |
| 317_sorted.txt | 0.210 |
| 038_sorted.txt | 0.285 |
| 031_sorted.txt | 0.104 |
| 405_sorted.txt | 0.335 |
| 003_sorted.txt | 0.074 |
| 093_sorted.txt | 0.051 |
| 124_sorted.txt | 0.395 |
| 480_sorted.txt | 0.118 |
| 464_sorted.txt | 0.347 |
| 341_sorted.txt | 2.605 |
| 002_sorted.txt | 1.215 |
| 157_sorted.txt | 0.118 |
| 238_sorted.txt | 0.305 |
| 492_sorted.txt | 0.775 |
| 261_sorted.txt | 0.252 |
| 414_sorted.txt | 0.314 |
| 110_sorted.txt | 0.087 |
| 229_sorted.txt | 0.203 |
| 012_sorted.txt | 0.091 |
| 046_sorted.txt | 0.243 |
| 481_sorted.txt | 0.063 |
